"","ensembl_gene_id","chromosome_name","start_position","end_position","strand","gene_biotype","external_gene_name","description"
"ENSG00000000003","ENSG00000000003","X",100627080,100639991,-1,"protein_coding","TSPAN6","tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]"
"ENSG00000000005","ENSG00000000005","X",100584929,100601108,1,"protein_coding","TNMD","tenomodulin [Source:HGNC Symbol;Acc:HGNC:17757]"
"ENSG00000000419","ENSG00000000419","20",50932897,50959145,-1,"protein_coding","DPM1","dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]"
"ENSG00000000457","ENSG00000000457","1",169816039,169894267,-1,"protein_coding","SCYL3","SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]"
"ENSG00000000460","ENSG00000000460","1",169662007,169873258,1,"protein_coding","FIRRM","FIGNL1 interacting regulator of recombination and mitosis [Source:HGNC Symbol;Acc:HGNC:25565]"
"ENSG00000000938","ENSG00000000938","1",27611388,27635565,-1,"protein_coding","FGR","FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]"
"ENSG00000000971","ENSG00000000971","1",196651754,196753075,1,"protein_coding","CFH","complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]"
"ENSG00000001036","ENSG00000001036","6",143493954,143511842,-1,"protein_coding","FUCA2","alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]"
"ENSG00000001084","ENSG00000001084","6",53497341,53616970,-1,"protein_coding","GCLC","glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]"
"ENSG00000001167","ENSG00000001167","6",41072040,41103063,1,"protein_coding","NFYA","nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]"
"ENSG00000001460","ENSG00000001460","1",24355830,24416934,-1,"protein_coding","STPG1","sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]"
